Ano,Valor Desembolsado (Reais) ,IDH
2013,2188271463,0.794
2014,2819098387,0.795
2015,6442285781,0.792
2016,1440599614,0.792
2017,251818472.1,0.792
2013,4563736067,0.763
2014,2078221505,0.781
2015,1967065108,0.776
2016,909009358.3,0.783
2017,859806980.3,0.787
2013,2989458597,0.807
2014,3564802699,0.811
2015,1497826339,0.81
2016,1239351719,0.805
2017,362269850.6,0.808
